17, 15, 11
19, 12, 3
2, 8, 2
11, 7, 19
9, 20, 15
9, 16, 11
18, 7, 18
13, 11, 14
14, 10, 16
14, 1, 16
10, 9, 5
8, 19, 15
10, 20, 5
12, 10, 19
7, 10, 14
14, 8, 20
3, 5, 16
19, 19, 15
9, 8, 10
1, 15, 8
11, 5, 15
4, 20, 13
16, 17, 10
11, 16, 16
13, 2, 8
11, 2, 7
13, 13, 5
1, 6, 2
16, 16, 1
2, 4, 13
18, 9, 9
16, 18, 12
20, 8, 3
13, 9, 6
10, 18, 1
19, 7, 6
6, 1, 11
11, 11, 13
1, 17, 20
19, 10, 4
15, 19, 4
3, 20, 14
13, 11, 4
15, 13, 13
4, 20, 12
13, 5, 5
9, 20, 20
1, 13, 6
3, 3, 15
1, 20, 4
11, 10, 11
4, 12, 11
1, 2, 12
2, 9, 10
10, 6, 13
2, 16, 2
13, 12, 1
3, 13, 8
19, 19, 11
9, 17, 8
3, 16, 4
1, 4, 1
14, 5, 20
18, 17, 1
10, 14, 10
19, 14, 19
11, 8, 4
13, 5, 17
15, 10, 1
3, 1, 15
1, 18, 3
14, 2, 18
9, 7, 3
19, 16, 20
7, 17, 15
2, 16, 11
12, 6, 2
10, 8, 10
7, 15, 9
12, 14, 20
1, 20, 17
4, 13, 9
9, 8, 9
5, 3, 1
4, 11, 5
3, 17, 12
15, 11, 7
8, 16, 17
10, 9, 17
13, 4, 9
4, 16, 11
17, 2, 15
11, 11, 1
5, 20, 13
12, 5, 17
11, 10, 3
17, 6, 19
12, 19, 5
9, 17, 13
7, 11, 9
16, 4, 8
4, 12, 8
2, 14, 18
10, 3, 3
12, 9, 2
3, 9, 6
7, 6, 18
12, 14, 2
11, 10, 15
19, 14, 2
9, 13, 2
11, 13, 15
6, 8, 5
16, 17, 20
1, 1, 8
16, 4, 7
8, 1, 1
1, 1, 10
17, 14, 3
9, 1, 3
18, 11, 16
2, 10, 18
9, 4, 5
6, 18, 6
3, 15, 8
20, 20, 6
1, 11, 13
19, 18, 13
11, 11, 7
20, 6, 7
7, 6, 8
10, 19, 11
2, 5, 7
4, 10, 2
13, 13, 4
9, 10, 7
19, 1, 11
6, 6, 4
9, 6, 5
10, 8, 9
10, 16, 7
19, 2, 18
15, 8, 11
2, 6, 20
12, 9, 12
15, 8, 13
7, 4, 19
